CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031000000000000AB0F;19/07/2026;1;0,215;R
ES0031000000000000AB0F;19/07/2026;2;1,111;R
ES0031000000000000AB0F;19/07/2026;3;0,155;R
ES0031000000000000AB0F;19/07/2026;4;0,135;R
ES0031000000000000AB0F;19/07/2026;5;0,148;R
ES0031000000000000AB0F;19/07/2026;6;0,122;R
ES0031000000000000AB0F;19/07/2026;7;0,151;R
ES0031000000000000AB0F;19/07/2026;8;0,206;R
ES0031000000000000AB0F;19/07/2026;9;0,291;R
ES0031000000000000AB0F;19/07/2026;10;0,408;R
ES0031000000000000AB0F;19/07/2026;11;0,602;R
ES0031000000000000AB0F;19/07/2026;12;0,556;R
ES0031000000000000AB0F;19/07/2026;13;0,691;R
ES0031000000000000AB0F;19/07/2026;14;0,485;R
ES0031000000000000AB0F;19/07/2026;15;0,525;R
ES0031000000000000AB0F;19/07/2026;16;0,595;R
ES0031000000000000AB0F;19/07/2026;17;0,461;R
ES0031000000000000AB0F;19/07/2026;18;0,451;R
ES0031000000000000AB0F;19/07/2026;19;0,370;R
ES0031000000000000AB0F;19/07/2026;20;0,513;R
ES0031000000000000AB0F;19/07/2026;21;0,670;R
ES0031000000000000AB0F;19/07/2026;22;0,569;R
ES0031000000000000AB0F;19/07/2026;23;0,719;R
ES0031000000000000AB0F;19/07/2026;24;0,357;R
ES0031000000000000AB0F;20/07/2026;1;0,141;R
ES0031000000000000AB0F;20/07/2026;2;0,151;R
ES0031000000000000AB0F;20/07/2026;3;0,149;R
ES0031000000000000AB0F;20/07/2026;4;0,128;R
ES0031000000000000AB0F;20/07/2026;5;0,138;R
ES0031000000000000AB0F;20/07/2026;6;0,101;R
ES0031000000000000AB0F;20/07/2026;7;0,192;R
ES0031000000000000AB0F;20/07/2026;8;0,275;R
ES0031000000000000AB0F;20/07/2026;9;0,443;R
ES0031000000000000AB0F;20/07/2026;10;0,415;R
ES0031000000000000AB0F;20/07/2026;11;0,297;R
ES0031000000000000AB0F;20/07/2026;12;0,294;R
ES0031000000000000AB0F;20/07/2026;13;0,410;R
ES0031000000000000AB0F;20/07/2026;14;0,397;R
ES0031000000000000AB0F;20/07/2026;15;0,563;R
ES0031000000000000AB0F;20/07/2026;16;0,364;R
ES0031000000000000AB0F;20/07/2026;17;0,306;R
ES0031000000000000AB0F;20/07/2026;18;0,216;R
ES0031000000000000AB0F;20/07/2026;19;0,322;R
ES0031000000000000AB0F;20/07/2026;20;0,417;R
ES0031000000000000AB0F;20/07/2026;21;0,793;R
ES0031000000000000AB0F;20/07/2026;22;0,763;R
ES0031000000000000AB0F;20/07/2026;23;1,496;R
ES0031000000000000AB0F;20/07/2026;24;0,269;R
ES0031000000000000AB0F;21/07/2026;1;0,176;R
ES0031000000000000AB0F;21/07/2026;2;0,117;R
ES0031000000000000AB0F;21/07/2026;3;0,125;R
ES0031000000000000AB0F;21/07/2026;4;0,137;R
ES0031000000000000AB0F;21/07/2026;5;0,137;R
ES0031000000000000AB0F;21/07/2026;6;0,113;R
ES0031000000000000AB0F;21/07/2026;7;0,210;R
ES0031000000000000AB0F;21/07/2026;8;0,357;R
ES0031000000000000AB0F;21/07/2026;9;0,332;R
ES0031000000000000AB0F;21/07/2026;10;0,351;R
ES0031000000000000AB0F;21/07/2026;11;0,274;R
ES0031000000000000AB0F;21/07/2026;12;0,282;R
ES0031000000000000AB0F;21/07/2026;13;0,350;R
ES0031000000000000AB0F;21/07/2026;14;0,445;R
ES0031000000000000AB0F;21/07/2026;15;0,467;R
ES0031000000000000AB0F;21/07/2026;16;0,313;R
ES0031000000000000AB0F;21/07/2026;17;0,249;R
ES0031000000000000AB0F;21/07/2026;18;0,317;R
ES0031000000000000AB0F;21/07/2026;19;0,315;R
ES0031000000000000AB0F;21/07/2026;20;0,450;R
ES0031000000000000AB0F;21/07/2026;21;0,597;R
ES0031000000000000AB0F;21/07/2026;22;0,844;R
ES0031000000000000AB0F;21/07/2026;23;0,681;R
ES0031000000000000AB0F;21/07/2026;24;0,267;R
ES0031000000000000AB0F;22/07/2026;1;0,150;R
ES0031000000000000AB0F;22/07/2026;2;0,109;R
ES0031000000000000AB0F;22/07/2026;3;0,095;R
ES0031000000000000AB0F;22/07/2026;4;0,124;R
ES0031000000000000AB0F;22/07/2026;5;0,106;R
ES0031000000000000AB0F;22/07/2026;6;0,152;R
ES0031000000000000AB0F;22/07/2026;7;0,171;R
ES0031000000000000AB0F;22/07/2026;8;0,235;R
