Data;Hora;Consumo registado, Ativa (kW);Estado
2026/07/30;00:15;0,236;Real
2026/07/30;00:30;0,212;Real
2026/07/30;00:45;0,15;Real
2026/07/30;01:00;0,193;Real
2026/07/30;01:15;2,176;Real
2026/07/30;01:30;0,134;Real
2026/07/30;01:45;0,163;Estimado
2026/07/30;02:00;0,127;Real
2026/07/30;02:15;0,114;Real
2026/07/30;02:30;0,139;Real
2026/07/30;02:45;0,117;Real
2026/07/30;03:00;0,146;Real
2026/07/30;03:15;0,128;Real
2026/07/30;03:30;0,097;Real
2026/07/30;03:45;0,123;Real
2026/07/30;04:00;0,112;Real
2026/07/30;04:15;0,117;Real
2026/07/30;04:30;0,134;Real
2026/07/30;04:45;0,135;Real
2026/07/30;05:00;0,111;Estimado
2026/07/30;05:15;0,171;Real
2026/07/30;05:30;0,15;Real
2026/07/30;05:45;0,165;Real
2026/07/30;06:00;0,149;Real
2026/07/30;06:15;0,158;Real
2026/07/30;06:30;0,277;Real
2026/07/30;06:45;0,166;Real
2026/07/30;07:00;0,235;Real
2026/07/30;07:15;0,444;Real
2026/07/30;07:30;0,393;Real
2026/07/30;07:45;0,419;Real
2026/07/30;08:00;0,454;Real
2026/07/30;08:15;0,416;Real
2026/07/30;08:30;0,432;Real
2026/07/30;08:45;0,471;Real
2026/07/30;09:00;0,504;Real
2026/07/30;09:15;0,269;Real
2026/07/30;09:30;0,409;Real
2026/07/30;09:45;0,287;Real
2026/07/30;10:00;0,259;Real
2026/07/30;10:15;0,338;Real
2026/07/30;10:30;0,34;Real
2026/07/30;10:45;0,197;Real
2026/07/30;11:00;0,241;Real
2026/07/30;11:15;0,391;Real
2026/07/30;11:30;0,358;Estimado
2026/07/30;11:45;0,23;Real
2026/07/30;12:00;0,36;Real
2026/07/30;12:15;0,54;Real
2026/07/30;12:30;0,581;Real
2026/07/30;12:45;0,333;Real
2026/07/30;13:00;0,542;Real
2026/07/30;13:15;0,623;Real
2026/07/30;13:30;0,462;Real
2026/07/30;13:45;0,605;Real
2026/07/30;14:00;0,567;Real
2026/07/30;14:15;0,256;Real
2026/07/30;14:30;0,378;Real
2026/07/30;14:45;0,317;Real
2026/07/30;15:00;0,314;Real
2026/07/30;15:15;0,332;Real
